Category,Project,Snapshots,TDR_Bugs,TDR_Smells,Overral_debts,KLOC
Web-Extension,quantummanager,0,0.0,0.0,0.0,0.001
Web-Extension,quantummanager,90,0.2885408079142622,13.759274525968673,14.043956043956044,3.639
Web-Extension,quantummanager,180,0.38604369980136455,11.646083426893515,9.154346540508575,11.579
Web-Extension,quantummanager,270,0.36272277616393184,11.536468556174922,5.421376448705108,12.737
Web-Extension,quantummanager,360,0.3419753944533259,10.899423090289845,3.8195215265805444,14.387
Web-Extension,quantummanager,450,0.3263681592039801,8.298507462686567,2.2644466891915425,15.075
Web-Extension,websocket-monitor,0,0.0,0.0,0.0,0.001
Web-Extension,websocket-monitor,90,4.368261898501184,4.9599000788850915,9.327548806941431,15.212
Web-Extension,websocket-monitor,180,3.4405210135341404,4.814287168006513,4.653110390914044,19.654
Web-Extension,websocket-monitor,270,3.4335330557530215,4.416065806844724,2.8333424973882444,19.694
Web-Extension,websocket-monitor,360,3.433358720487433,4.415841584158416,2.081851971557854,19.695
Web-Extension,websocket-monitor,450,3.4335330557530215,4.416065806844724,1.6454497072911123,19.694
Web-Extension,quanta,0,1.0740859268741498,6.848947915833266,7.923033842707417,24.998
Web-Extension,quanta,90,8.118427069044353,24.51360310928212,22.104509201662236,52.488
Web-Extension,quanta,180,0.0,0.0,0.0,52.488
Web-Extension,quanta,270,0.0,0.0,0.0,52.488
Web-Extension,quanta,360,0.0,0.0,0.0,52.488
Web-Extension,quanta,450,0.0,0.0,0.0,52.488
Web-Extension,quanta,540,0.0,0.0,0.0,52.488
Web-Extension,quanta,630,0.0,0.0,0.0,52.488
Web-Extension,quanta,720,0.0,0.0,0.0,52.488
Web-Extension,quanta,810,0.0,0.0,0.0,52.488
Web-Extension,quanta,900,5.31139659948938,14.263811179314466,2.524298368200397,73.636
Web-Extension,quanta,990,0.0,0.0,0.0,73.636
Web-Extension,quanta,1080,0.0,0.0,0.0,73.636
Web-Extension,quanta,1170,0.0,0.0,0.0,73.636
Web-Extension,quanta,1260,0.0,0.0,0.0,73.636
Web-Extension,quanta,1350,0.0,0.0,0.0,73.636
Web-Extension,quanta,1440,0.0,0.0,0.0,73.636
Web-Extension,quanta,1530,0.0,0.0,0.0,73.636
Web-Extension,quanta,1620,0.0,0.0,0.0,73.636
Web-Extension,quanta,1710,0.0,0.0,0.0,73.636
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,0,0.0,0.0,0.0,0.001
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,90,24.464387559969133,6.143523333445164,30.606884057971016,29.807
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,180,1.577150046430818,0.03235179582422191,0.8502793119273314,33.383
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,270,1.3674554183813443,0.0360082304526749,0.5001884236578634,34.992
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,360,8.250778375318426,0.028304557033682422,2.4968167364969163,42.396
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,450,3.3784225315297656,0.0,0.8316889022349964,45.909
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,540,0.0,0.0,0.0,45.909
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,630,0.0,0.0,0.0,45.909
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,720,0.0,0.0,0.0,45.909
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,810,0.0,0.0,0.0,45.909
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,900,6.2103389981315065,1.5182845448883353,1.0187441798277814,56.195
Web-Extension,Quantum-Nox-Firefox-Dark-Full-Theme,990,5.797341919797605,1.5968195035402737,0.9238490116792216,60.871
Web-Extension,firefox-extension,0,0.0,0.0,0.0,0.001
Web-Extension,firefox-extension,90,0.8071970947507429,1.4658303070320238,2.2726522528470046,6.058
Web-Extension,firefox-extension,180,0.43038800130420607,0.7189435930877078,0.7693566868554592,12.268
Web-Extension,firefox-extension,270,0.4257748776508972,0.7194127243066885,0.45901853728708275,12.26
Web-Extension,drop-feeds,0,0.0,0.0,0.0,0.001
Web-Extension,drop-feeds,90,0.7371960682876357,1.3036730470770823,2.040341349883631,3.866
Web-Extension,drop-feeds,180,3.6737235367372354,0.547945205479452,3.330604224660226,14.454
Web-Extension,drop-feeds,270,3.093611206012983,0.4834301332422275,1.7506897416603961,17.562
Web-Extension,drop-feeds,360,5.643964935940661,0.4277044600712841,2.22543913849413,20.762
Web-Extension,drop-feeds,450,5.381081081081081,0.4243243243243243,1.63459953072484,22.2
Web-Extension,drop-feeds,540,5.379869398784058,0.4242287773024094,1.2754082137555665,22.205
Web-Extension,drop-feeds,630,5.375753757537575,0.42390423904239044,1.045492893763385,22.222
Web-Extension,drop-feeds,720,5.355029585798817,0.4249596557288865,0.8856985849704629,22.308
Web-Extension,CustomCSSforFx,0,0.0,0.0,0.0,0.001
Web-Extension,CustomCSSforFx,90,14.3304248861912,0.5851669195751138,14.915120285777512,31.632
Web-Extension,CustomCSSforFx,180,2.6010864868201744,0.17130687079449347,1.402758039074823,32.398
Web-Extension,CustomCSSforFx,270,2.7554945054945055,0.1675824175824176,0.9893481831988511,32.76
Web-Extension,CustomCSSforFx,360,2.8083870382136698,0.17609149496233095,0.7596925494062015,33.051
Web-Extension,CustomCSSforFx,450,3.441216445803602,0.1384641522256201,0.7654488429261677,35.316
Web-Extension,CustomCSSforFx,540,3.5080175331520835,0.1406536092770349,0.6536649370787857,36.046
Web-Extension,CustomCSSforFx,630,3.7321983958094616,0.14896055000818464,0.598087934818253,36.654
Web-Extension,CustomCSSforFx,720,2.899325613262044,0.07415567317767807,0.40232371299672454,37.219
Web-Extension,CustomCSSforFx,810,0.0,0.0,0.0,37.219
Web-Extension,CustomCSSforFx,900,4.605834412369563,0.16680630664940208,0.5345154585237274,39.387
Web-Extension,CustomCSSforFx,990,4.777204679833941,0.16530381180022646,0.5018547472332077,39.745
Web-Extension,quantum,0,0.0,0.0,0.0,0.001
Web-Extension,quantum,90,0.0,0.0,0.0,0.001
Web-Extension,quantum,180,0.0,0.0,0.0,0.001
Web-Extension,quantum,270,0.0,0.0,0.0,0.001
Web-Extension,quantum,360,0.0,0.0,0.0,0.001
Web-Extension,quantum,450,0.0,0.0,0.0,0.001
Web-Extension,quantum,540,0.0,0.0,0.0,0.001
Web-Extension,quantum,630,0.0,0.0,0.0,0.001
Web-Extension,quantum,720,0.0,0.0,0.0,0.001
Web-Extension,quantum,810,0.0,0.0,0.0,0.001
Web-Extension,quantum,900,0.0,0.0,0.0,0.001
Web-Extension,firefox-nativedark,0,0.0,0.0,0.0,0.001
Web-Extension,firefox-nativedark,90,1.1811023622047243,0.0,1.171875,0.127
Web-Extension,firefox-nativedark,180,0.5928853754940712,0.0,0.39370078740157477,0.253
Web-Extension,firefox-nativedark,270,0.5928853754940712,0.0,0.2365930599369085,0.253
Web-Extension,firefox-nativedark,360,0.5928853754940712,0.0,0.16910935738444194,0.253
Web-Extension,firefox-nativedark,450,0.5928853754940712,0.0,0.13157894736842105,0.253
