categories,repos,repo_id,interval,commits,cloc
Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,2,30,449,4888897
Quantum-Chemistry,MolSSI/QCElemental,3,30,423,307833
Quantum-Chemistry,MolSSI/QCElemental,3,60,421,107026
Quantum-Chemistry,MolSSI/QCElemental,3,90,397,93709
Quantum-Chemistry,MolSSI/QCElemental,3,120,431,305781
Quantum-Chemistry,MolSSI/QCElemental,3,150,441,308228
Quantum-Chemistry,MolSSI/QCElemental,3,180,439,308218
Quantum-Chemistry,MolSSI/QCEngine,4,60,597,117983
Quantum-Chemistry,MolSSI/QCEngine,4,90,594,118018
Quantum-Chemistry,MolSSI/QCEngine,4,120,599,118038
Quantum-Chemistry,MolSSI/QCEngine,4,150,600,118043
Quantum-Chemistry,MolSSI/QCEngine,4,180,600,118043
Quantum-Chemistry,MolSSI/QCEngine,4,30,542,106311
Quantum-Chemistry,MolSSI/QCFractal,5,90,1252,183080
Quantum-Chemistry,MolSSI/QCFractal,5,120,1265,182226
Quantum-Chemistry,MolSSI/QCFractal,5,150,1300,187864
Quantum-Chemistry,MolSSI/QCFractal,5,180,1272,185257
Quantum-Chemistry,MolSSI/QCFractal,5,60,1247,182647
Quantum-Chemistry,MolSSI/QCFractal,5,30,1186,176288
Quantum-Chemistry,SebWouters/CheMPS2,6,180,350,719947
Quantum-Chemistry,SebWouters/CheMPS2,6,150,347,719914
Quantum-Chemistry,SebWouters/CheMPS2,6,120,348,719918
Quantum-Chemistry,SebWouters/CheMPS2,6,90,340,718777
Quantum-Chemistry,SebWouters/CheMPS2,6,60,330,717532
Quantum-Chemistry,SebWouters/CheMPS2,6,30,296,714859
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,30,574,2073500
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,60,589,2082019
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,90,596,2082853
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,120,597,2083411
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,150,598,2083465
Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,7,180,598,2083427
Quantum-Chemistry,QMCPACK/qmcpack,8,30,8028,21473138
Quantum-Chemistry,QMCPACK/qmcpack,8,60,8423,22174040
Quantum-Chemistry,QMCPACK/qmcpack,8,90,8798,25435242
Quantum-Chemistry,QMCPACK/qmcpack,8,120,8759,25520373
Quantum-Chemistry,QMCPACK/qmcpack,8,150,8707,23813392
Quantum-Chemistry,QMCPACK/qmcpack,8,180,8608,24177848
Quantum-Chemistry,cp2k/cp2k,9,90,8597,4883318
Quantum-Chemistry,cp2k/cp2k,9,120,8595,4832571
Quantum-Chemistry,cp2k/cp2k,9,150,8742,4963336
Quantum-Chemistry,cp2k/cp2k,9,180,8788,5034621
Quantum-Chemistry,cp2k/cp2k,9,30,8564,4765998
Quantum-Chemistry,cp2k/cp2k,9,60,8520,4836812
Quantum-Chemistry,votca/xtp,10,30,3635,5950247
Quantum-Chemistry,votca/xtp,10,60,3675,5957909
Quantum-Chemistry,votca/xtp,10,90,3679,5958369
Quantum-Chemistry,votca/xtp,10,120,3682,5958361
Quantum-Chemistry,votca/xtp,10,150,3684,5959740
Quantum-Chemistry,votca/xtp,10,180,3683,5958494
Quantum-Chemistry,hande-qmc/hande,11,30,1254,1949588
Quantum-Chemistry,hande-qmc/hande,11,60,1138,1478925
Quantum-Chemistry,hande-qmc/hande,11,90,1174,1318064
Quantum-Chemistry,hande-qmc/hande,11,120,1173,1486292
Quantum-Chemistry,hande-qmc/hande,11,150,1151,1295527
Quantum-Chemistry,hande-qmc/hande,11,180,1405,1678008
Quantum-Chemistry,tmancal74/quantarhei,12,30,542,630016
Quantum-Chemistry,tmancal74/quantarhei,12,60,557,632333
Quantum-Chemistry,tmancal74/quantarhei,12,90,562,633005
Quantum-Chemistry,tmancal74/quantarhei,12,120,565,633864
Quantum-Chemistry,tmancal74/quantarhei,12,150,566,633865
Quantum-Chemistry,tmancal74/quantarhei,12,180,566,633865
Quantum-Chemistry,LCPQ/quantum_package,13,180,1399,7698968
Quantum-Chemistry,LCPQ/quantum_package,13,150,1398,7697996
Quantum-Chemistry,LCPQ/quantum_package,13,120,1397,7697994
Quantum-Chemistry,LCPQ/quantum_package,13,90,1393,7691785
Quantum-Chemistry,LCPQ/quantum_package,13,60,1385,7691123
Quantum-Chemistry,LCPQ/quantum_package,13,30,1358,7688596
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,120,90,9788
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,150,88,9110
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,180,90,9816
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,90,85,8923
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,60,78,8777
Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,14,30,53,6421
Quantum-Chemistry,ericchansen/q2mm,15,180,319,525501
Quantum-Chemistry,ericchansen/q2mm,15,120,316,495668
Quantum-Chemistry,ericchansen/q2mm,15,150,319,495982
Quantum-Chemistry,ericchansen/q2mm,15,90,313,495554
Quantum-Chemistry,ericchansen/q2mm,15,60,305,466110
Quantum-Chemistry,ericchansen/q2mm,15,30,280,321797
Quantum-Chemistry,aoterodelaroza/critic2,16,30,937,2638379
Quantum-Chemistry,aoterodelaroza/critic2,16,60,949,2652433
Quantum-Chemistry,aoterodelaroza/critic2,16,90,950,2652444
Quantum-Chemistry,aoterodelaroza/critic2,16,120,952,2652479
Quantum-Chemistry,aoterodelaroza/critic2,16,150,952,2652479
Quantum-Chemistry,aoterodelaroza/critic2,16,180,952,2652479
Quantum-Chemistry,GQCG/GQCP,17,30,1277,1297065
Quantum-Chemistry,GQCG/GQCP,17,60,1255,1173864
Quantum-Chemistry,GQCG/GQCP,17,90,1290,1298154
Quantum-Chemistry,GQCG/GQCP,17,120,1259,1173983
Quantum-Chemistry,GQCG/GQCP,17,150,1200,1162314
Quantum-Chemistry,GQCG/GQCP,17,180,1159,1122111
Quantum-Chemistry,qcdb/qcdb,18,60,151,1428885
Quantum-Chemistry,qcdb/qcdb,18,90,153,1436090
Quantum-Chemistry,qcdb/qcdb,18,120,155,1437006
Quantum-Chemistry,qcdb/qcdb,18,150,155,1441260
Quantum-Chemistry,qcdb/qcdb,18,180,165,1446531
Quantum-Chemistry,qcdb/qcdb,18,30,138,112455
Assembly,lanl/qmasm,0,30,219,21439
Assembly,lanl/qmasm,0,60,237,21974
Assembly,lanl/qmasm,0,90,242,22160
Assembly,lanl/qmasm,0,120,243,22162
Assembly,lanl/qmasm,0,150,244,22344
Assembly,lanl/qmasm,0,180,245,22362
Assembly,XanaduAI/blackbird,1,30,75,28620
Assembly,XanaduAI/blackbird,1,60,80,29911
Assembly,XanaduAI/blackbird,1,90,82,30348
Assembly,XanaduAI/blackbird,1,120,82,30348
Assembly,XanaduAI/blackbird,1,150,83,30783
Assembly,XanaduAI/blackbird,1,180,83,30783
Assembly,BBN-Q/pyqgl2,2,150,697,99510
Assembly,BBN-Q/pyqgl2,2,180,694,99436
Assembly,BBN-Q/pyqgl2,2,90,672,92184
Assembly,BBN-Q/pyqgl2,2,120,690,99251
Assembly,BBN-Q/pyqgl2,2,60,580,88496
Assembly,BBN-Q/pyqgl2,2,30,524,72446
Assembly,artiste-qb-net/qubiter,3,90,194,394216
Assembly,artiste-qb-net/qubiter,3,120,197,394806
Assembly,artiste-qb-net/qubiter,3,150,197,394823
Assembly,artiste-qb-net/qubiter,3,180,200,396541
Assembly,artiste-qb-net/qubiter,3,60,190,394146
Assembly,artiste-qb-net/qubiter,3,30,171,391714
Assembly,BBN-Q/QGL.jl,4,180,97,4548
Assembly,BBN-Q/QGL.jl,4,150,94,4434
Assembly,BBN-Q/QGL.jl,4,120,93,4432
Assembly,BBN-Q/QGL.jl,4,90,90,4266
Assembly,BBN-Q/QGL.jl,4,60,85,4094
Assembly,BBN-Q/QGL.jl,4,30,62,2971
Simulator,arguelles/nuSQuIDS,0,30,297,829050
Simulator,arguelles/nuSQuIDS,0,60,330,837741
Simulator,arguelles/nuSQuIDS,0,90,337,838090
Simulator,arguelles/nuSQuIDS,0,120,340,838113
Simulator,arguelles/nuSQuIDS,0,150,343,842099
Simulator,arguelles/nuSQuIDS,0,180,345,842109
Simulator,softwareQinc/qpp,1,30,1289,1189168
Simulator,softwareQinc/qpp,1,60,1314,1202168
Simulator,softwareQinc/qpp,1,90,1321,1203691
Simulator,softwareQinc/qpp,1,120,1322,1203769
Simulator,softwareQinc/qpp,1,150,1323,1203777
Simulator,softwareQinc/qpp,1,180,1323,1203777
Simulator,QuantumBFS/YaoBlocks.jl,2,30,153,6305
Simulator,QuantumBFS/YaoBlocks.jl,2,60,158,6499
Simulator,QuantumBFS/YaoBlocks.jl,2,90,160,6554
Simulator,QuantumBFS/YaoBlocks.jl,2,120,160,6554
Simulator,QuantumBFS/YaoBlocks.jl,2,150,160,6554
Simulator,QuantumBFS/YaoBlocks.jl,2,180,161,6566
Simulator,issp-center-dev/HPhi,3,30,917,12516613
Simulator,issp-center-dev/HPhi,3,60,930,12520947
Simulator,issp-center-dev/HPhi,3,90,934,12707842
Simulator,issp-center-dev/HPhi,3,120,935,12708094
Simulator,issp-center-dev/HPhi,3,150,936,12709202
Simulator,issp-center-dev/HPhi,3,180,936,12709202
Simulator,SoftwareQuTech/SimulaQron,4,30,285,377931
Simulator,SoftwareQuTech/SimulaQron,4,60,298,379225
Simulator,SoftwareQuTech/SimulaQron,4,90,296,379925
Simulator,SoftwareQuTech/SimulaQron,4,120,303,380004
Simulator,SoftwareQuTech/SimulaQron,4,150,303,380004
Simulator,SoftwareQuTech/SimulaQron,4,180,313,385028
Simulator,QuantumBFS/Yao.jl,5,60,269,118156
Simulator,QuantumBFS/Yao.jl,5,90,271,118159
Simulator,QuantumBFS/Yao.jl,5,120,271,118159
Simulator,QuantumBFS/Yao.jl,5,150,271,118159
Simulator,QuantumBFS/Yao.jl,5,180,272,118161
Simulator,QuantumBFS/Yao.jl,5,30,262,117971
Simulator,Strilanc/Quirk,6,30,641,180083
Simulator,Strilanc/Quirk,6,60,671,183502
Simulator,Strilanc/Quirk,6,90,681,184406
Simulator,Strilanc/Quirk,6,120,684,184436
Simulator,Strilanc/Quirk,6,150,687,184642
Simulator,Strilanc/Quirk,6,180,687,184662
Simulator,Qiskit/qiskit-aer,7,30,392,223833
Simulator,Qiskit/qiskit-aer,7,60,407,237517
Simulator,Qiskit/qiskit-aer,7,90,379,294290
Simulator,Qiskit/qiskit-aer,7,120,397,337215
Simulator,Qiskit/qiskit-aer,7,150,410,293414
Simulator,Qiskit/qiskit-aer,7,180,372,337857
Simulator,qutip/qutip,8,30,3133,598908
Simulator,qutip/qutip,8,60,3203,610928
Simulator,qutip/qutip,8,90,3252,622005
Simulator,qutip/qutip,8,120,3251,619171
Simulator,qutip/qutip,8,150,3260,623163
Simulator,qutip/qutip,8,180,3243,620666
Simulator,QuEST-Kit/QuEST,9,30,398,1262238
Simulator,QuEST-Kit/QuEST,9,60,411,1380935
Simulator,QuEST-Kit/QuEST,9,90,416,1381818
Simulator,QuEST-Kit/QuEST,9,120,416,1381818
Simulator,QuEST-Kit/QuEST,9,150,532,1798005
Simulator,QuEST-Kit/QuEST,9,180,536,1798252
Simulator,vm6502q/qrack,10,30,425,277955
Simulator,vm6502q/qrack,10,60,434,281200
Simulator,vm6502q/qrack,10,90,437,283205
Simulator,vm6502q/qrack,10,120,438,283206
Simulator,vm6502q/qrack,10,150,439,283214
Simulator,vm6502q/qrack,10,180,439,283214
Simulator,qulacs/qulacs,11,30,216,127286
Simulator,qulacs/qulacs,11,60,224,128428
Simulator,qulacs/qulacs,11,90,226,128753
Simulator,qulacs/qulacs,11,120,226,128753
Simulator,qulacs/qulacs,11,150,228,128876
Simulator,qulacs/qulacs,11,180,228,128876
Simulator,quantumlib/OpenFermion-Cirq,12,60,152,50543
Simulator,quantumlib/OpenFermion-Cirq,12,90,152,50543
Simulator,quantumlib/OpenFermion-Cirq,12,120,152,50543
Simulator,quantumlib/OpenFermion-Cirq,12,150,152,50543
Simulator,quantumlib/OpenFermion-Cirq,12,180,152,50543
Simulator,quantumlib/OpenFermion-Cirq,12,30,144,48998
Simulator,microsoft/qmt,13,150,440,162622
Simulator,microsoft/qmt,13,180,440,162622
Simulator,microsoft/qmt,13,120,439,162451
Simulator,microsoft/qmt,13,90,438,162435
Simulator,microsoft/qmt,13,60,434,162351
Simulator,microsoft/qmt,13,30,425,158495
Simulator,Approximates/dotBloch,14,30,115,52255
Simulator,Approximates/dotBloch,14,60,122,52346
Simulator,Approximates/dotBloch,14,90,126,52380
Simulator,Approximates/dotBloch,14,120,127,52382
Simulator,Approximates/dotBloch,14,150,127,52382
Simulator,Approximates/dotBloch,14,180,128,52402
Simulator,Qiskit/qiskit-jku-provider,15,150,113,23671
Simulator,Qiskit/qiskit-jku-provider,15,180,114,23817
Simulator,Qiskit/qiskit-jku-provider,15,120,112,23637
Simulator,Qiskit/qiskit-jku-provider,15,90,111,23623
Simulator,Qiskit/qiskit-jku-provider,15,60,105,22762
Simulator,Qiskit/qiskit-jku-provider,15,30,93,19942
Simulator,ngnrsaa/qflex,16,60,700,292202
Simulator,ngnrsaa/qflex,16,90,700,292202
Simulator,ngnrsaa/qflex,16,120,700,292202
Simulator,ngnrsaa/qflex,16,150,700,292202
Simulator,ngnrsaa/qflex,16,180,700,292202
Simulator,ngnrsaa/qflex,16,30,697,288926
Simulator,aparent/QCViewer,17,180,288,147741
Simulator,aparent/QCViewer,17,150,283,136910
Simulator,aparent/QCViewer,17,120,277,134228
Simulator,aparent/QCViewer,17,90,270,132747
Simulator,aparent/QCViewer,17,60,247,124497
Simulator,aparent/QCViewer,17,30,201,112941
Simulator,rigetti/qvm,18,60,171,35822
Simulator,rigetti/qvm,18,90,173,35830
Simulator,rigetti/qvm,18,120,174,35988
Simulator,rigetti/qvm,18,150,226,45905
Simulator,rigetti/qvm,18,180,174,35988
Simulator,rigetti/qvm,18,30,161,34890
Simulator,marvel-nccr/quantum-mobile,19,60,135,14912
Simulator,marvel-nccr/quantum-mobile,19,90,138,14919
Simulator,marvel-nccr/quantum-mobile,19,120,140,14952
Simulator,marvel-nccr/quantum-mobile,19,150,140,14952
Simulator,marvel-nccr/quantum-mobile,19,180,141,14964
Simulator,marvel-nccr/quantum-mobile,19,30,125,14693
ToolKit,evaleev/libint,0,60,853,1403934
ToolKit,evaleev/libint,0,90,878,1406681
ToolKit,evaleev/libint,0,120,889,1407794
ToolKit,evaleev/libint,0,150,891,1408305
ToolKit,evaleev/libint,0,180,896,1409011
ToolKit,evaleev/libint,0,30,759,1392874
ToolKit,qojulia/QuantumOptics.jl,1,30,323,40043
ToolKit,qojulia/QuantumOptics.jl,1,60,354,59099
ToolKit,qojulia/QuantumOptics.jl,1,90,360,59735
ToolKit,qojulia/QuantumOptics.jl,1,120,361,59739
ToolKit,qojulia/QuantumOptics.jl,1,150,362,59960
ToolKit,qojulia/QuantumOptics.jl,1,180,363,59834
ToolKit,jcmgray/quimb,2,30,679,308439
ToolKit,jcmgray/quimb,2,60,692,309553
ToolKit,jcmgray/quimb,2,90,696,310481
ToolKit,jcmgray/quimb,2,120,698,310795
ToolKit,jcmgray/quimb,2,150,700,310832
ToolKit,jcmgray/quimb,2,180,699,310797
ToolKit,XanaduAI/pennylane,3,30,825,447712
ToolKit,XanaduAI/pennylane,3,60,831,459143
ToolKit,XanaduAI/pennylane,3,90,834,459219
ToolKit,XanaduAI/pennylane,3,120,834,459219
ToolKit,XanaduAI/pennylane,3,150,834,459219
ToolKit,XanaduAI/pennylane,3,180,834,459219
ToolKit,OriginQ/QPanda-2,4,150,198,451819
ToolKit,OriginQ/QPanda-2,4,180,199,451870
ToolKit,OriginQ/QPanda-2,4,120,197,451813
ToolKit,OriginQ/QPanda-2,4,90,196,451807
ToolKit,OriginQ/QPanda-2,4,60,192,451797
ToolKit,OriginQ/QPanda-2,4,30,182,448909
ToolKit,CQCL/pytket,5,150,99,51377
ToolKit,CQCL/pytket,5,180,99,51377
ToolKit,CQCL/pytket,5,120,98,51134
ToolKit,CQCL/pytket,5,90,97,50792
ToolKit,CQCL/pytket,5,60,94,50752
ToolKit,CQCL/pytket,5,30,87,28809
ToolKit,bloomberg/quantum,6,30,136,152624
ToolKit,bloomberg/quantum,6,60,152,153877
ToolKit,bloomberg/quantum,6,90,154,154851
ToolKit,bloomberg/quantum,6,120,155,155818
ToolKit,bloomberg/quantum,6,150,155,155818
ToolKit,bloomberg/quantum,6,180,155,155818
ToolKit,rigetti/forest-benchmarking,7,60,100,62398
ToolKit,rigetti/forest-benchmarking,7,90,100,62398
ToolKit,rigetti/forest-benchmarking,7,120,100,62398
ToolKit,rigetti/forest-benchmarking,7,150,100,62398
ToolKit,rigetti/forest-benchmarking,7,180,100,62398
ToolKit,rigetti/forest-benchmarking,7,30,95,62326
ToolKit,QInfer/python-qinfer,8,180,544,78021
ToolKit,QInfer/python-qinfer,8,150,542,77735
ToolKit,QInfer/python-qinfer,8,120,541,77661
ToolKit,QInfer/python-qinfer,8,90,537,77571
ToolKit,QInfer/python-qinfer,8,60,527,74455
ToolKit,QInfer/python-qinfer,8,30,493,64375
ToolKit,zoran-cuckovic/QGIS-visibility-analysis,9,60,50,11319
ToolKit,zoran-cuckovic/QGIS-visibility-analysis,9,90,57,11386
ToolKit,zoran-cuckovic/QGIS-visibility-analysis,9,120,60,11405
ToolKit,zoran-cuckovic/QGIS-visibility-analysis,9,150,64,11454
ToolKit,zoran-cuckovic/QGIS-visibility-analysis,9,180,65,11456
ToolKit,zoran-cuckovic/QGIS-visibility-analysis,9,30,26,1580
ToolKit,qubekit/QUBEKit,10,30,320,498888
ToolKit,qubekit/QUBEKit,10,60,328,501157
ToolKit,qubekit/QUBEKit,10,90,331,501810
ToolKit,qubekit/QUBEKit,10,120,331,501810
ToolKit,qubekit/QUBEKit,10,150,332,501982
ToolKit,qubekit/QUBEKit,10,180,332,501982
ToolKit,tensorflow/quantum,11,30,267,162813
ToolKit,tensorflow/quantum,11,60,269,162826
ToolKit,tensorflow/quantum,11,90,269,162826
ToolKit,tensorflow/quantum,11,120,269,162826
ToolKit,tensorflow/quantum,11,150,269,162826
ToolKit,tensorflow/quantum,11,180,269,162826
ToolKit,redhat-cip/openstack-quantum-puppet,12,180,88,5221
ToolKit,redhat-cip/openstack-quantum-puppet,12,120,99,5525
ToolKit,redhat-cip/openstack-quantum-puppet,12,150,99,5525
ToolKit,redhat-cip/openstack-quantum-puppet,12,90,82,4976
ToolKit,redhat-cip/openstack-quantum-puppet,12,60,79,4856
ToolKit,redhat-cip/openstack-quantum-puppet,12,30,49,2087
ToolKit,TRIQS/triqs,14,30,724,373117
ToolKit,TRIQS/triqs,14,60,822,288391
ToolKit,TRIQS/triqs,14,90,805,377181
ToolKit,TRIQS/triqs,14,120,847,377827
ToolKit,TRIQS/triqs,14,150,921,384884
ToolKit,TRIQS/triqs,14,180,952,382341
ToolKit,QuTech-Delft/qtt,15,30,632,4409633
ToolKit,QuTech-Delft/qtt,15,60,666,4417533
ToolKit,QuTech-Delft/qtt,15,90,670,4418017
ToolKit,QuTech-Delft/qtt,15,120,670,4417293
ToolKit,QuTech-Delft/qtt,15,150,671,4418017
ToolKit,QuTech-Delft/qtt,15,180,672,4418022
ToolKit,lmacken/quantumrandom,16,180,87,1829
ToolKit,lmacken/quantumrandom,16,150,84,1801
ToolKit,lmacken/quantumrandom,16,120,79,1607
ToolKit,lmacken/quantumrandom,16,90,70,1324
ToolKit,lmacken/quantumrandom,16,60,51,1153
ToolKit,lmacken/quantumrandom,16,30,2,10
ToolKit,qucat/qucat,17,30,351,1112803
ToolKit,qucat/qucat,17,60,357,1117051
ToolKit,qucat/qucat,17,90,358,1117067
ToolKit,qucat/qucat,17,120,359,1117083
ToolKit,qucat/qucat,17,150,359,1117083
ToolKit,qucat/qucat,17,180,359,1117083
ToolKit,Qiskit/qiskit-ignis,18,30,245,364868
ToolKit,Qiskit/qiskit-ignis,18,60,250,365291
ToolKit,Qiskit/qiskit-ignis,18,90,252,365301
ToolKit,Qiskit/qiskit-ignis,18,120,253,365305
ToolKit,Qiskit/qiskit-ignis,18,150,254,367589
ToolKit,Qiskit/qiskit-ignis,18,180,253,365305
ToolKit,orbkit/orbkit,19,30,223,181231
ToolKit,orbkit/orbkit,19,60,255,197587
ToolKit,orbkit/orbkit,19,90,264,198193
ToolKit,orbkit/orbkit,19,120,269,199694
ToolKit,orbkit/orbkit,19,150,272,210118
ToolKit,orbkit/orbkit,19,180,272,210118
ToolKit,deepchem/deepchem,20,30,2733,1203393
ToolKit,deepchem/deepchem,20,60,2756,1213416
ToolKit,deepchem/deepchem,20,90,2767,1207924
ToolKit,deepchem/deepchem,20,120,2793,1215845
ToolKit,deepchem/deepchem,20,150,2806,1217220
ToolKit,deepchem/deepchem,20,180,2806,1217220
ToolKit,aiidateam/aiida-quantumespresso,21,150,296,370534
ToolKit,aiidateam/aiida-quantumespresso,21,180,298,370606
ToolKit,aiidateam/aiida-quantumespresso,21,120,287,370507
ToolKit,aiidateam/aiida-quantumespresso,21,90,289,369808
ToolKit,aiidateam/aiida-quantumespresso,21,60,279,361978
ToolKit,aiidateam/aiida-quantumespresso,21,30,228,354014
